package_name,duration,city_list,price,persons
Escape to Tawang Dirang and Bomdila Group Package,6 Nights / 7 Days,Bhalukpong(1N) →  Dirang(1N) →  Tawang(3N) →  Bomdila(1N),"₹ 19,999*
                
                per adult",per adult on twin sharing
Assam Meghalaya Arunachal Pradesh Tour Packages,12 Nights / 13 Days,Guwahati(0N) →  Shillong(2N) →  Kaziranga National Park(2N) →  Tezpur(1N) →  Bomdila(1N) →  Tawang(2N) →  Dirang(1N) →  Bhalukpong(1N) →  Guwahati(2N),"₹ 62,900*
                
                per adult",per adult on twin sharing
Shillong Tawang Tour Package - Jewels of North East India with Kaziranga & Dirang,9 Nights / 10 Days,Shillong(2N) →  Kaziranga National Park(2N) →  Dirang(1N) →  Tawang(2N) →  Bomdila(1N) →  Guwahati(1N),"₹ 55,240*
                
                per adult",per adult on twin sharing
Bike Trip to Meghalaya and Arunachal: Exploring the Eastern Himalayas,8 Nights / 9 Days,Shillong(2N) →  Mawlynnong(1N) →  Cheerapunji(1N) →  Bhalukpong(1N) →  Tawang(1N) →  Shillong(1N),"₹ 39,250*
                
                per adult",per adult on twin sharing
Tawang Adventure Tour Package on Bike,6 Nights / 7 Days,Guwahati(0N) →  Bhalukpong(1N) →  Tawang(3N) →  Zemithang(1N) →  Nag Mandir(1N),"₹ 24,500*
                
                per adult",per adult on twin sharing
Meghalaya Arunachal Pradesh Tour Packages - Discover the Northeast,9 Nights / 10 Days,Guwahati(2N) →  Manas National Park(1N) →  Shillong(1N) →  Cherrapunji(1N) →   Mawlynnong(1N) →  Tawang(3N),"₹ 42,250*
                
                per adult",per adult on twin sharing
"Northeast Highlights - Shillong, Tawang, Kaziranga & More",11 Nights / 12 Days,Shillong(3N) → Bhalukpong(1N) → Dirang(1N) → Tawang(2N) → Bomdila(1N) → Kaziranga(2N) → Guwahati(1N),"₹ 58,000*
                
                per adult",per adult on twin sharing
Best Arunachal Pradesh Tour Packages Including Bhalukpong,7 Nights / 8 Days,Guwahati(1N) →  Bhalukpong(1N) → Dirang(1N) → Bomdila(1N) →  Tawang(2N) → Tezpur(1N),"₹ 32,500*
                
                per adult",per adult on twin sharing
"Amazing Arunachal Tour - Shillong, Bhalukpong, Dirang and More",8 Nights / 9 Days,Shillong(2N) →  Bhalukpong(1N) →  Dirang(1N) → Tawang(2N) →  Bomdila(1N) → Tezpur(1N),"₹ 40,568*
                
                per adult",per adult on twin sharing
Arunachal Pradesh Tour Itinerary 5 Days,4 Nights / 5 Days,Guwahati(0N) →  Bhalukpong(1N) →  Dirang(1N) →  Tawang(2N),"₹ 19,000*
                
                per adult",per adult on twin sharing
Enchanting Honeymoon in Arunachal Pradesh Package,6 Nights / 7 Days,Tezpur(1N) → Dirang(1N) → Tawang(2N) → Bomdila(1N) → Guwahati(1N),"₹ 32,000*
                
                per adult",per adult on twin sharing
"Breathtaking Northeast Honeymoon Special: Meghalaya, Assam, Arunachal",12 Nights / 13 Days,Guwahati(0N) →  Shillong(2N) →  Kaziranga National Park(2N) →  Tezpur(1N) →  Bomdila(1N) →  Tawang(2N) →  Dirang(1N) →  Bhalukpong(1N) →  Guwahati(2N),"₹ 44,000*
                
                per adult",per adult on twin sharing
Ultimate Arunachal Pradesh Package,4 Nights / 5 Days,Guwahati(0N) → Bomdila(1N) → Tawang(2N) →  Bhalukpong(1N),"₹ 22,000*
                
                per adult",per adult on twin sharing
The Land of Dawn: 7 Nights Tour Package,7 Nights / 8 Days,Dirang(2N) →  Tawang(2N) →  Bomdila(1N) →  Guwahati(1N),"₹ 49,990*
                
                per adult",per adult on twin sharing
5 Days Delight to Arunachal Pradesh Package,4 Nights / 5 Days,Dirang(1N) →  Tawang(2N) →  Bomdila(1N),"₹ 17,999*
                
                per adult",per adult on twin sharing
Group Tour to Arunachal Pradesh Package,7 Nights / 8 Days,Guwahati(0N) → Dirang(1N) → Tawang(2N) → Bomdila(1N) → Ziro(2N) →  Itanagar(1N),"₹ 29,999*
                
                per adult",per adult on twin sharing
