package_name,cities_to_be_visit,no_of_nights,no_of_days,price
Kinnaur Spiti Honeymoon Special Package,"chandigarh ,   sarahan ,   sangla ,   kalpa ,   dhankar ,   kaza ,   chandartal ,   manali",8,9,43800.0
Spiti Snow Tour Honeymoon Package: Kalpa & Kaza,"shimla ,   kalpa ,   kaza ,   kalpa",6,7,28500.0
Adventurous Spiti Valley Honeymoon Tour Package,"chandigarh ,   manali ,   kaza ,   chandartal ,   manali",6,7,24900.0
Winter Spiti Valley: October to May Package,"tabo ,   kalpa ,   kaza ,   sangla ,   sarahan",6,7,16500.0
Spiti Valley Tour Packages From Chandigarh with Tabo,"chandigarh ,   manali  ,   kaza  ,   chandrataal  ,   tabo",5,6,22720.0
Spiti Valley Package with Chandrataal Lake and Tabo,"chandrataal lake  ,   tabo",4,5,21712.0
Spiti Valley Itinerary 8 Days with Shimla,"shimla ,   chitkul ,   kalpa ,   kaza ,   kalpa",7,8,35520.0
Tour of Palampur and Dharamshala with Barot,palampur,4,5,21000.0
Simply Stunning Dharamshala Tour Package,"dharamshala ,   palampur",2,3,11000.0
"Beautiful Bir, Palampur and Dharamshala","dharamshala ,  palampur ,  bir",4,5,12000.0
Simply Bir and Palampur,"palampur ,  bir",4,5,8500.0
"Magical Himachal Honeymoon Getaway: Dalhousie, Palampur & More","chandigarh ,   manali ,   palampur ,   dalhousie",6,7,29500.0
7 Days Manali Dalhousie Tour Package for Couples,"chandigarh ,   manali ,   palampur ,   dalhousie ,   chamba",6,7,28500.0
Mesmerising Kinnaur-Chitkul-Narkanda Tour Package,"chandigarh ,   chitkul ,   kalpa ,   narkanda",5,6,7999.0
Adventurous Sangla Valley with Narkanda Tour Package,"chandigarh ,   narkanda ,   sangla valley ,   kalpa ,   sarahan",6,7,17000.0
Sangla Kalpa Tour Package with Sarahan & Narkanda,"sarahan ,   kalpa ,   sangla ,   narkanda",5,6,24999.0
Kinnaur and Spiti Offbeat Adventurer Tour Package,"chandigarh ,   narkanda ,   sangla ,   kalpa ,   tabo ,   kaza ,   langza ,   chandertal ,   manali",10,11,59530.0
Memorable Kinnaur - Chitkul - Kalpa Super Deluxe Honeymoon Package,"chandigarh ,   chitkul ,   kalpa ,   narkanda",5,6,17999.0
Stunning Spiti 5 Nights Honeymoon Special Package,"sarahan ,   kalpa ,   sangla ,   narkanda",5,6,24999.0
Shimla Manali Tour Packages for Family,"chandigarh ,   shimla ,   manali",5,6,25133.0
The Ladakh Tour Package: The Ultimate Road Trail with Srinagar,"nalagarh ,   manali ,   jispa ,   leh ,  nubra valley ,   leh ,   kargil ,  srinagar ,   amritsar ,   delhi",15,16,165000.0
Long Excursion to Leh Ladakh Bike Trip Package,"delhi ,  manali ,  jispa ,  sarchu ,  leh ,  nubra valley ,  pangong lake",11,12,59990.0
Srinagar to Manali Tour Package,"srinagar ,   kargil ,   leh ,   nubra valley ,   pangong lake ,   jispa",11,12,35000.0
Spiti Valley in Summers: 1 Week in Breathtaking Kinnaur & Spiti,"chandigarh ,   shimla ,   sangla ,   kalpa ,   tabo ,   kaza ,   manali",7,8,40500.0
5 Nights/6 Days Stunning Kinnaur Tour Package,"chandigarh ,   sarahan ,   sangla ,   kalpa ,   shimla",5,6,22500.0
Adventurous Sangla Valley,"chandigarh ,   narkanda ,   sangla valley ,   kalpa ,   sarahan",6,7,17000.0
Beautiful Kinnaur Deluxe Group Tour Package,"chandigarh ,   sarahan ,   sangla ,   kalpa ,   shimla",5,6,16500.0
Exploring Kinnaur and Spiti Valley,"chandigarh ,   sarahan ,   sangla valley ,   kalpa ,   tabo ,   kaza ,   chandertal ,    manali",9,10,49200.0
Kinnaur Spiti Highland Jeep Safari,"chandigarh ,   shimla ,   sarahan ,   sangla ,   kalpa ,   tabo ,   pin valley ,   kaza ,   chandertal ,   manali",10,11,55500.0
Captivating Kinnaur Honeymoon Package,"chandigarh ,   shimla ,   sangla ,   kalpa",5,6,13500.0
Romance in Kinnaur Honeymoon Package with Sightseeing,"chandigarh ,   sarahan ,   sangla ,   kalpa ,   shimla",5,6,16500.0
Mesmerising Kinnaur-Chitkul-Kalpa Tour Package,"chandigarh ,   chitkul ,   kalpa ,   narkanda",5,6,7999.0
Kinnaur Lahaul Spiti Tour Package: Excursion to Chitkul,"delhi ,   shimla ,   sarahan ,   sangla ,   kalpa ,   nako ,   kaza ,   keylong ,   manali",9,10,50690.0
Best Kinnaur Spiti Valley Tour with Shimla and Manali,"shimla ,  kinnaur ,  spiti ,  manali",10,11,30000.0
Exotic Kinnaur & Shimla from Chandigarh by Car,"chandigarh ,  shimla ,  kinnaur ,  shimla ,  chandigarh",5,6,17500.0
Captivating Kinnaur and Shimla Package,"shimla ,  kinnaur ,  shimla",5,6,15000.0
Enchanting Kinnaur Package,kinnaur,3,4,11000.0
"5 Night 6 Days Dalhousie, Dharamshala, Chamba Holiday Package","pathankot ,   dharamshala ,   dalhousie",5,6,25670.0
Chamba Tour Package with Manimahesh Trek,"deli ,   chamba ,   dancho ,   mani mahesh lake ,   dancho ,   chamba",6,7,27500.0
Relaxing Retreat to Dalhousie & Dharamshala,"dharamshala ,   chamba ,   dalhousie ,   khajjiar",5,6,24999.0
Dharamshala Dalhousie Honeymoon Package with Chamba Sightseeing,"delhi ,   dharamshala ,   khajjiar ,   dalhousie ,   chamba",3,4,14500.0
Exciting Manali and Dalhousie Package with Chamba Day Trip,"chandigarh ,   manali ,   palampur ,   dalhousie ,   chamba",6,7,26500.0
"Charms of Chamba, Dalhousie, Khajjiar & More","dalhousie ,  khajjiar ,  chamba ,  dharamshala",6,7,17500.0
"Romantic Chamba, Khajjiar and Dalhousie","dalhousie ,  khajjiar ,  chamba ,  dalhousie",5,6,18000.0
Prashar Lake Trek Tour from Delhi with Camping,"delhi ,   prashar",1,2,5500.0
Dharamshala and Mandi Tour Package,"delhi ,   dharamshala ,   mandi",3,4,10500.0
Charming Dharamshala Honeymoon Special with Bir Billing,"pathankot ,  dharamshala ,  bir billing ,   barot",3,4,12000.0
Dharamshala – Bir Billing - Barot Super Deluxe Honeymoon Package,"pathankot ,  dharamshala ,  bir billing ,   barot",3,4,11000.0
"Offbeat Himachal Honeymoon Package to Bir Billing, Barot, Parashar Lake","delhi ,   bir billing ,   barot ,   parashar lake",5,6,17800.0
Himachal Tour Package 5 Days,"delhi ,   kasol ,   kheerganga ,   manikaran ,   manali",4,5,17400.0
Recharge in Coorg Tour Package,"mysore ,   coorg",3,4,8950.0
2 Nights 3 Days Coorg Getaway Package,coorg,2,3,7000.0
Coorg Adventure Package with River Rafting,"bangalore ,   coorg",4,5,7999.0
Magical Coorg Mysore Tour Package,"mysore ,   coorg",3,4,6750.0
South India Tour Packages for 10 Days with Coorg,"bangalore ,   mysore ,   coorg ,   ooty ,   kodaikanal",9,10,40250.0
Best Selling Coorg Holiday Package from Bangalore,"bangalore ,   coorg",3,4,12599.0
Pocket Friendly Coorg Tour Package,"bangalore ,   coorg",2,3,5500.0
"Breathtaking Wayanad, Coorg & Kannur 3 Star Holiday Package","bangalore ,   coorg ,   wayanad ,   kannur",6,7,16000.0
"Relax & Recharge Package: Coorg, Ooty, Coonoor & More","bangalore ,   mysore ,   coorg ,   ooty",5,6,15000.0
Relaxing Week in Coorg & Chikmagalur with Mysore,"bangalore ,   mysore ,   chikmagalur ,   coorg",5,6,13799.0
Serene Coorg Getaway with Mysore,"bangalore ,   coorg ,   mysore",4,5,12200.0
Pocket Friendly Wayanad Coorg Holiday Package,"bangalore ,   coorg ,   wayanad ,   mysore",5,6,20450.0
"Nature Rendezvous Package: Coorg, Wayanad, Ooty & More","bangalore ,   mysore ,   coorg ,   wayanad ,   ooty",7,8,34000.0
Breathtaking Coorg with Mysore & Bangalore,"bangalore ,   mysore ,   coorg",5,6,21550.0
"Beaches & Hills of Karnataka: Coorg, Chikmagalur, Mangalore & More","bangalore ,   mysore ,   coorg ,   mangalore ,   chikmagalur",8,9,38999.0
Essence of Karnataka in 5 Days,"bangalore ,   mysore ,   coorg",4,5,16649.0
Coorg Wayanad Hill Station Tour Package,"bangalore ,   coorg ,   wayanad",4,5,15000.0
South India Package Mysore Coorg  Ooty,"bangalore ,   mysore ,   coorg ,   ooty",5,6,13799.0
"Bangalore, Mysore, Coorg & Mangalore Package","bangalore ,   mysore ,   coorg ,   mangalore",6,7,16559.0
Cycling Tour of South India,"goa ,   karwar ,   gokarna ,   baindur ,   koppa ,   lakkavalli ,   chikmagalur ,   mudigere ,   hassan ,   coorg ,   mysore ,   mudumalai ,   ooty ,   nilambur ,   kozhikode ,   guruvayur ,   kochi ,   thattekkad ,   dewalokam ,   kumarakom ,   alleppey ,   mararikulam",26,27,225000.0
Holiday in Hills Coorg & Ooty Package from Bangalore,"bangalore ,   mysore ,   coorg ,   ooty",5,6,18900.0
"Relaxing Honeymoon Tour to Wayanad, Coorg & Kannur","bangalore ,   coorg ,   wayanad ,   kannur",6,7,16000.0
Breathtaking Coorg 4-Star Honeymoon Package from Bangalore,"bangalore ,   coorg",3,4,15899.0
Romance in Hills : Ooty & Coorg Honeymoon Package from Banaglore,"bangalore ,   mysore ,   coorg ,   ooty",5,6,15000.0
Together in Coorg & Wayanad Honeymoon Special (Package from Bangalore),"bangalore ,   coorg ,   wayanad",4,5,12000.0
"Exotic Coorg, Ooty and Kodaikanal Honeymoon Package from Bangalore","bangalore ,   mysore ,   coorg ,   ooty ,   kodaikanal",9,10,24250.0
"Nature Rendezvous Honeymoon in Coorg, Wayanad, Ooty & More","bangalore ,   mysore ,   coorg ,   wayanad ,   ooty",7,8,22000.0
Breathtaking Karnataka Honeymoon Package,"bangalore ,   mysore ,   coorg",4,5,12649.0
Fantastic Karnataka Honeymoon Special,"bangalore ,   mysore ,   coorg ,   mangalore ,   chikmagalur",8,9,22999.0
"Coorg Honeymoon  Package with Mysore, Ooty and Kodaikanal","bangalore ,   mysore ,   coorg ,   ooty ,   kodaikanal",9,10,24250.0
Coorg Honeymoon Package: Beaches & Hills of Karnataka,"bangalore ,   mysore ,   coorg ,   mangalore ,   chikmagalur",8,9,22999.0
Serene Coorg Honeymoon Getaway with Mysore,"bangalore ,   coorg ,   mysore",4,5,12200.0
The Tamara Coorg,coorg,4,5,73450.0
Honeymoon in Coorg & Ooty Package from Bangalore,"bangalore ,   coorg ,   ooty",4,5,19900.0
Luxury Coorg Wayanad Hill Station Tour Package,"bangalore ,   coorg ,   wayanad",4,5,30000.0
Picturesque Wayanad & Coorg: Honeymoon Special Package,"bangalore ,   coorg ,   wayanad",4,5,12000.0
Coorg & Wayanad Honeymoon Delight Package,"bangalore ,   coorg ,   wayanad",4,5,12000.0
Breathtaking Coorg & Chikmagalur Honeymoon Special Package,"bangalore ,   mysore ,   chikmagalur ,   coorg",5,6,13799.0
Blissful Karnataka & Kerala Honeymoon Package,"bangalore ,   coorg ,   wayanad ,   kannur",6,7,25000.0
Wonderful Coorg Honeymoon Getaway,coorg,2,3,7000.0
Idyllic Coorg Honeymoon Tour,"mysore ,   coorg",3,4,11050.0
Budget Honeymoon in Coorg,"bangalore ,   coorg",2,3,6500.0
Weekend At Coorg Wilderness Resort,"bangalore ,   coorg ,   bangalore",2,3,27600.0
Weekend At Kadkani River Resort,"bangalore ,   coorg ,   bangalore",2,3,14206.0
"Weekend at The Birchwood Retreat, Madikeri","bangalore ,   coorg ,   bangalore",2,3,9649.0
Weekend At The Road's End,"bangalore ,   coorg ,   bangalore",2,3,8503.0
Weekend At Palm Era Resorts,"bangalore ,   coorg ,   bangalore",2,3,8160.0
Weekend at Ama Plantation Trails Coorg,"bangalore ,   coorg ,   bangalore",2,3,7009.0
Weekend At Evolve Back Coorg,"bangalore ,   coorg ,   bangalore",2,3,27800.0
"Hampi, Bijapur & Badami: UNESCO Sites Tour Package","hospet ,   hampi ,   bijapur ,   badami",4,5,11999.0
Banglore Mysore Ooty Kodaikanal Tour Package,"bangalore ,  mysore ,  ooty ,  kodaikanal",6,7,25335.0
"Offbeat Tour Package: Chikmagalur, Hampi & More with Goa","bangalore ,   mysore ,   chikmagalur ,   hampi ,   goa",8,9,22999.0
Leisurely Chikmagalur Package with Mysore,"bangalore ,   mysore ,   chikmagalur",4,5,12649.0
Holiday in Hills Coorg & Ooty Package with Mysore,"bangalore ,   mysore ,   coorg ,   ooty",5,6,18900.0
Karnataka Wildlife Tour Package with Jungle Safari,"bangalore ,   mysore ,   nagarhole ,   bandipur national park",4,5,15000.0
Bangalore  Mysore Chikmagalur & Hampi Package,"bangalore ,   mysore ,   chikmagalur ,   hampi",6,7,16559.0
"Extensive Karnataka Tour Package: Bangalore, Chikmagalur, Kudremukh & More","bangalore ,   mysore ,   chikmagalur ,   kudremukh ,   mangalore",8,9,35999.0
"Tamilnadu Hill Retreat from Bangalore: Ooty, Coonoor & More","bangalore ,   mysore ,   ooty ,   kodaikanal",5,6,14700.0
"Wilderness & Hills Package: Ooty, Wayanad & Mysore","bangalore ,   mysore ,   ooty ,   wayanad",5,6,11500.0
"South India Package Around Bangalore, Mysore & Kodaikanal","bangalore ,   mysore ,   kodaikanal",4,5,16649.0
Beautiful Mysore Ooty Tour Package,"bangalore ,   mysore ,   ooty",3,4,14350.0
Southern Karnataka Temple Trail With Ooty and Coonoor,"bangalore ,   hassan ,   mysore ,   ooty",7,8,35800.0
Southern Bengaluru Mysore and Ooty Package,"bangalore ,  mysore ,  ooty ,   coimbatore(0n)",4,5,13900.0
Dreamy Ooty & Kodaikanal Honeymoon Package with Mysore Stay,"bangalore ,   mysore ,   ooty ,   kodaikanal",5,6,18000.0
South India Tour Package for 7 Days,"bengaluru (bangalore) ,   mysore ,   kodaikanal ,   ooty (udhagamandalam)",6,7,34500.0
"Ooty Honeymoon Package with Kodaikanal, Mysore & More","bangalore ,   mysore ,   ooty ,   kodaikanal",5,6,14000.0
"Offbeat Honeymoon Tour Package: Chikmagalur, Hampi & More with Goa","bangalore ,   mysore ,   chikmagalur ,   hampi ,   goa",8,9,22999.0
"Karnataka Honeymoon in Bangalore, Chikmagalur, Kudremukh & More","bangalore ,   mysore ,   chikmagalur ,   kudremukh ,   mangalore",8,9,22999.0
Bangalore Kodaikanal Honeymoon Special with Ooty Mysore,"bangalore ,  mysore ,  ooty ,  kodaikanal",6,7,25335.0
Chikmagalur Love Story Honeymoon Package from Bangalore,"bangalore ,   mysore ,   chikmagalur",4,5,12649.0
Mystic Kodaikanal 3-Star Honeymoon Package from Bangalore,"bangalore ,   mysore ,   kodaikanal",4,5,12649.0
Nagarhole & Bandipur Wildlife Honeymoon Package from Bangalore,"bangalore ,   mysore ,   nagarhole ,   bandipur national park",4,5,15000.0
Ooty Kodaikanal Honeymoon in Hills Package from Bangalore,"bangalore ,  mysore ,  ooty ,  kodaikanal",6,7,18000.0
"Mysore, Ooty & Coonoor Honeymoon Tour Package from Bangalore","bangalore ,   mysore ,   ooty",3,4,14350.0
Dreamy Honeymoon in Kodaikanal with Ooty & Mysore Tour,"bangalore ,   mysore ,   ooty ,   kodaikanal",5,6,20000.0
"Beautiful Honeymoon in Mysore, Ooty and Kodaikanal","bangalore ,   mysore ,   ooty ,   kodaikanal",5,6,18800.0
Hampi Weekend Getaway Tour Package,hampi,1,2,4000.0
Ruins of Hampi Tour Package,hampi,2,3,5000.0
Leisure & Heritage Package: Chikmagalur & Hampi from Bangalore,"bangalore ,   chikmagalur ,   hampi",5,6,13799.0
Historical Hampi Tour from Bangalore,"bangalore ,   hospet",4,5,9000.0
Gokarna Tent Stay With Adventure Activities,gokarna,1,2,2999.0
Goa & Gokarna Tour,goa,3,4,14300.0
Holy Karnataka Pilgrimage Package,"bangalore ,   kukke subrahmanya ,   mangalore ,   udupi ,   gokarna ,   sirsi ,   kollur ,   horanadu",7,8,38750.0
Nature Escape from Bangalore to Chikmagalur,"bangalore ,   mysore ,   chikmagalur",4,5,12649.0
Unforgettable Ooty Honeymoon Package from Bangalore,"bangalore ,   ooty",2,3,7300.0
Fun Getaway from Bangalore to Mysore and Ooty,"bangalore ,   mysore ,   ooty",4,5,5000.0
Heritage Bangalore Tour Package with Hampi & Chikmagalur,"bangalore ,   chikmagalur ,   hampi",5,6,13799.0
Weekend Getaway to Yercaud from Bangalore,"bangalore ,   yercaud",2,3,6000.0
Amazing Bangalore Mysore  Ooty Kodaikanal Tour Package,"bangalore ,  mysore ,  ooty ,  kodaikanal",6,7,25000.0
"Enchanting Trio: Bangalore, Mysore & Kodaikanal","bangalore ,   mysore ,   kodaikanal",4,5,16649.0
"Blissful Hills: Bangalore with Mysore, Coorg & Wayanad","bangalore ,   coorg ,   wayanad ,   mysore",5,6,20450.0
"Charming Getaway: Bangalore, Mysore, Ooty & Kodaikanal","bangalore ,  mysore ,  ooty ,  kodaikanal",6,7,25335.0
"Best of Hills & Heritage: Bangalore, Chikmagalur, Hampi & More","bangalore ,   mysore ,   chikmagalur ,   hampi",6,7,16559.0
Southern Karnataka Temple Trail from Bangalore,"bangalore ,   hassan ,   mysore ,   ooty",7,8,35800.0
Picturesque Hills from Banaglore Tour Package,"bangalore ,   mysore ,   ooty ,   kodaikanal",6,7,24559.0
"Quintessentially Karnataka: Bangalore, Coorg & More","bangalore ,   mysore ,   coorg ,   mangalore ,   chikmagalur",8,9,38999.0
"Hills & Heritage of Karnataka & Tamilnadu: Ooty, Kodaikanal, Mysore & More","bangalore ,   mysore ,   ooty ,   kodaikanal",5,6,19000.0
Ooty  Kodaikanal Romantic Honeymoon Package,"bangalore ,   ooty ,   kodaikanal",4,5,16000.0
Weekend At Dhole's Den Bandipur,"bangalore ,   bandipur-national-park ,   bangalore",2,3,7000.0
Super Saver Bandipur Wildlife Escape,bandipur-national-park,2,3,15000.0
Nepal Family Adventure Tour Package: Rafting & Hiking,"kathmandu ,   bandipur ,   pokhara ,   kathmandu",6,7,25500.0
"Weekend At Kaav Safari Lodge, Kabini","bangalore ,   kabini",2,3,25767.0
Weekend At The Serai Kabini,"bangalore ,   kabini",2,3,22073.0
Weekend At Evolve Back Kabini,"bangalore ,   kabini",2,3,36756.0
Weekend At Red Earth Kabini,"bangalore ,   coorg",2,3,19672.0
"Weekend At The Peepal Tree, Kabini","bangalore ,   coorg",2,3,14000.0
Weekend At Waterwoods Lodge Kabini,"bangalore ,   coorg",2,3,15444.0
"Extensive Karnataka Tour Package: Chikmagalur, Kudremukh, Mangalore & More","bangalore ,   mysore ,   chikmagalur ,   kudremukh ,   mangalore",8,9,35999.0
Verdant Lands of Aihole,aihole,3,4,4100.0
Kerala Houseboat Package -1 Night Stay in Houseboat,"kochi ,   munnar ,   alleppey",3,4,14300.0
Kerala Munnar Tour Package with Thekkady,"kochi ,   munnar ,   thekkady ,   alleppey",4,5,21000.0
Munnar Tour Packages for 3 Days - Houseboat Stay,"kochi  ,   alleppey ,   munnar",2,3,11500.0
"5 Days Trip in India: Alleppey, Kovalam & Munnar","kochi  ,   munnar ,   alleppey ,   kovalam",4,5,18900.0
Exclusive Kerala Package Tour with Kanyakumari,"kochi  ,   munnar ,   thekkady ,   kovalam ,   kanyakumari ,   kovalam ,   alleppey",7,8,28700.0
Kerala Boathouse Honeymoon Package,"kochi ,   munnar ,   alleppey",2,3,10900.0
Couple Special Kerala Package with Stay in Tree house,"munnar ,   thekkady ,   alappuzha (alleppey) ,   kovalam",6,7,55000.0
Best Munnar Tour Packages,"kochi ,   munnar ,   alleppey ,   kovalam",5,6,23700.0
Quick Honeymoon Getaway to Kerala,"kochi ,   munnar ,   thekkady ,   kumarakom",4,5,13100.0
Munnar Thekkady Alleppey Tour Package with Periyar Wildlife Sanctuary,"kochi  ,   munnar ,   thekkady ,   alleppey",4,5,19000.0
"Kerala Package Holiday: Vagamon, Munnar, Kottayam and Alleppey","kochi ,   munnar ,   vagamon ,   kottayam ,   alleppey",5,6,24670.0
Wonderful Kerala 6 Nights Honeymoon Package - Photoshoot in Munnar,"kochi ,   munnar ,   thekkady ,   kumarakom",6,7,27950.0
Kerala Package Itinerary with Houseboat Experience,"kochi  ,   munnar  ,   thekkady  ,   alleppey  ,   kochi",5,6,24550.0
Munnar Tour Package 3 Nights 4 Days with Alleppey,"kochi  ,   munnar ,  alleppey",3,4,14999.0
"Kerala Tour Package 7 Nights 8 Days- Kochi, Munnar, Kumarakom and More","kochi ,   munnar ,   kumarakom ,   varkala ,   trivandrum",7,8,27569.0
"Kovalam, Thekkady, Alleppey & Munnar Tour Package","kochi ,  munnar ,  thekkady ,  alleppey ,  kovalam",6,7,28000.0
Kerala Honeymoon Packages for 3 Nights 4 Days - Houseboat Stay,"kochi ,   munnar ,   kumarakom",3,4,12000.0
"Kerala Tour Package - Munnar, Thekkady, Alleppey & Kovalam","kochi  ,   munnar ,   thekkady ,   alleppey ,   kovalam",6,7,28000.0
God's Own Country Kerala Honeymoon Special,"kochi ,   munnar ,   thekkady ,   alleppey",4,5,19100.0
"Kerala 8 Days Itinerary: Munnar, Thekkady, Alleppey, Kovalam & Kochi","kochi ,   munnar ,   thekkady ,   alleppey ,   kovalam ,   kochi",7,8,35250.0
Munnar Tour Packages for Family,"kochi  ,   munnar ,   thekkady ,   alleppey",4,5,19200.0
Kerala Tour Packages 7 Days - Family Trip,"kochi ,   munnar ,   thekkady ,   alleppey ,   kovalam ,   trivandrum",6,7,28000.0
"Gems of Kerala - Wayanad, Munnar, Kochi, Munnar","wayanad ,   calicut ,   kochi ,   munnar ,   thekkady",7,8,31197.0
Incredible Kerala Honeymoon Package for Couples,"kochi ,   munnar ,   alleppey ,   kovalam ,   trivandrum",5,6,27000.0
"Mesmeric Kochi, Munnar & Guruvayur","kochi ,  munnar ,  guruvayur",4,5,18849.0
Blissful Kerala Honeymoon Tour Package,"kochi ,   munnar ,   thekkady ,   alleppey ,   kovalam",6,7,27400.0
Munnar 4 Days Itinerary - Pothamedu Sunset Viewpoint,"kochi ,   munnar",3,4,14500.0
Cheap Munnar Tour Packages,"alleppey ,  munnar",2,3,12000.0
Munnar Alleppey Tour Package with Ayurvedic Spa & Treatment,"kochi ,   munnar ,   alleppey",5,6,24000.0
Splendid  Weekend Munnar Tour Package,"kochi  ,   munnar",2,3,12350.0
3 Nights 4 Days Kerala Tour Package,"kochi  ,   munnar ,   alleppey",3,4,14200.0
"Munnar Tour Packages for Couple: Kochi, Munnar & Thekkady","kochi ,   munnar ,   thekkady ,   alappuzha",5,6,23500.0
Ooty Munnar Tour Package with Kodaikanal for 5 Nights,"coimbatore  ,   ooty ,   munnar ,   kodaikanal",5,6,25500.0
Kerala 9 Days Itinerary  - Water Taxi to Poovar Beach,"kochi ,  munnar ,  thekkady ,  alleppey ,  kovalam ,   poovar",8,9,40800.0
South India Special Package -  Kochi to Madurai,"kochi  ,   munnar  ,   thekkady  ,   kovalam and poovar  ,   kanyakumari  ,   rameshwaram  ,   madurai",8,9,31098.0
"Kerala Luxury Tour Packages - Munnar, Alleppey &  Kovalam","kochi  ,   munnar ,   alleppey ,   kovalam",5,6,50500.0
Munnar Sightseeing Tour Package with Backwater Cruising,"thrissur ,  munnar ,  kumarakom ,  alappuzha ,  kovalam",6,7,26400.0
Thekkady Munnar Tour Packages: 3 Nights 4 Days,"kochi  ,   munnar ,   thekkady",3,4,13700.0
Wonderful Kerala Group Tour Package,"calicut ,   wayanad ,   guruvayur ,   munnar ,   thekkady ,   alleppey ,   trivandrum",9,10,40999.0
Incredible Kerala Honeymoon Package,"kochi ,   alleppey ,   thekkady ,   periyar ,   munnar",7,8,31200.0
5 Nights in Kerala Luxury Tour Package,"kochi ,   munnar ,   kumarakom",5,6,40000.0
Kerala Honeymoon Special Including Varkala,"kochi ,  munnar ,  alleppey ,  varkala ,  trivandrum",5,6,26400.0
Kerala Tour Package with Houseboat Experience,"kochi  ,   munnar  ,   vagamon ,   thekkady  ,   alleppey  ,   kochi",6,7,23550.0
Marvellous Kerala Tour Package with Athirapally Falls,"kochi ,   athirapally ,   munnar ,   thekkady ,   kumarakom",5,6,26900.0
Delights of Kerala Holiday Package,"kochi ,   munnar ,   thekkady ,   kochi",6,7,27500.0
Kerala Tour Packages Itinerary - 6 Nights 7 Days,"kochi ,   munnar ,   thekkady ,   alleppey ,   kovalam",6,7,27500.0
Cheapest Kerala Tour Package for Family - Kochi and Munnar,"kochi ,   munnar",3,4,13000.0
7 Days South India Tour Package,"kochi ,   munnar ,   thekkady ,   alleppey ,   kovalam",6,7,29999.0
Munnar Tour Package in 7 Days Package with Ooty,"coimbatore ,   ooty ,   munnar ,   thekkady ,   alleppey",6,7,26000.0
Best of Kerala in 10 Days : Family Tour Package,"trivandrum ,   kovalam ,   varkala ,   alleppey ,   kumarakom ,   thekkady ,   munnar ,   kochi",9,10,51900.0
Best Kerala Tour Packages for Honeymoon - Bollywood Style Photoshoot,"kochi  ,   munnar  ,   thekkady  ,   alleppey  ,   kochi",5,6,23550.0
Best Kerala Tour Packages for Family,"kochi ,   munnar ,   thekkady ,   kumarakom",6,7,24500.0
"Shimmering Munnar, Kochi & Kumarakom Package - Houseboat Stay","kochi ,   munnar ,   kumarakom",4,5,17350.0
Kerala Delight - Kochi Tour Package,"kochi ,  munnar ,  thekkady ,   alleppey",5,6,27999.0
Best 4 Days Trip in India: Houseboat Stay,"kochi ,   kumarakom ,   vagamon",3,4,14000.0
Romantic Honeymoon Getaway:  Best Kerala Package for Couples,"kochi ,   munnar ,   alleppey",5,6,21000.0
Beaches & Backwaters of Kerala Package,"kochi ,   alleppey ,   varkala ,   kollam ,   alleppey",7,8,32300.0
Best Honeymoon Package in India With Prices for Couple: Kerala Itinerary,"kochi ,   munnar ,   thekkady ,   kumarakom ,   alleppey ,   kovalam ,   trivandrum",8,9,44890.0
Luxury Kochi Package with Munnar and Kumarakom,"kochi ,   munnar ,   kumarakom",5,6,40000.0
4 Days Kochi Tour Package with Munnar,"kochi ,   munnar",3,4,13500.0
"Alleppey Houseboat Package With Madurai, Rameswaram and Kanyakumari","kochi ,   alleppey ,   munnar ,   thekkady ,   madurai ,   rameswaram ,   kanyakumari ,   kovalam",10,11,53500.0
Delights of Kerala Kochi Tour Package,"kochi ,   munnar ,   thekkady ,   kochi",6,7,27500.0
Alleppey Kumarakom Backwater Cruise Tour,"kochi ,   alleppey ,   kumarakom",5,6,22100.0
Lakshadweep Samudram Package with Cruise Tickets from Kochi,"kochi ,   lakshadweep",4,5,33000.0
"Unconventional Kerala Tour Package: Mararikulam, Varkala & More","kochi ,   mararikulam ,   kollam ,   varkala",6,7,30200.0
Kerala Alleppey Tour Package with Catamaran Cruising,"alleppey ,  kovalam ,  kanyakumari",5,6,21349.0
"Magnificent Kochi, Munnar, Kumarakom and More","kochi ,   munnar ,   kumarakom ,   poovar",6,7,26700.0
Exploration Tour: North Kerala,"kozhikode ,   wayanad ,   thalassery ,   athirapally ,   kochi",9,10,48500.0
"Holy Kerala on a Budget: Kochi, Thrissur, Guruvayur and More","thrissur ,   guruvayur ,   kochi ,   trivandrum",4,5,15899.0
"Blissful Kerala Package with Munnar, Kumarakom & Kochi","kochi ,   munnar ,   kumarakom ,   kochi",3,4,14250.0
Family Trip to Beauteous valley of Kochi & Thekkady,"kochi ,  thekkady",3,4,13500.0
Kochi Tour Package for 3 Days - Day Cruise in Alleppey,kochi,2,3,11572.0
"Remarkable Kochi, Alleppey, Munnar and More","kochi ,  munnar ,  thekkady ,  alleppey ,  kochi",5,6,24700.0
Jewels of South India : Kerala & Tamil Nadu Family Tour,"trivandrum ,   kovalam ,   kanyakumari ,   rameswaram ,   madurai ,   munnar  ,  thekkady ,   alleppey ,   kochi",9,10,40000.0
"In the Laps of Luxury - Kochi, Kumarakom, Varkala and More","kochi ,   kumarakom ,   varkala ,   kovalam ,   trivandrum",5,6,59947.0
