package_name,cities_to_be_visit,no_of_nights,no_of_days,price
Majestic Group Tour to Arunachal Pradesh with Shillong and Kaziranga,"dirang ,   tawang ,   bomdila ,   kaziranga national park ,   shillong ,   cherrapunjee",7,8,22999.0
7N/8D Tawang Bomdila Ziro Itanagar Group Tour (4 Persons),"dirang ,   tawang ,   bomdila ,   ziro ,   itanagar",7,8,29999.0
Group Tour to Arunachal Pradesh Package,"guwahati ,  dirang ,  tawang ,  bomdila ,   ziro ,  itanagar",7,8,29999.0
Amazing Tawang for 6 Days,"tawang ,   bomdila ,   guwahati",5,6,12000.0
Best Selling Ziro Tour with Sightseeing,ziro,2,3,7000.0
Ziro Valley Tour Package - 5 Nights 6 Days,"guwahati ,   itanagar ,   ziro ,   itanagar",5,6,22000.0
Arunachal Tour Package From Guwahati - Ziro & Itanagar,"itanagar ,   ziro",3,4,12428.0
Ziro Music Festival Tour Package,"guwahati ,   itanagar ,   ziro",6,7,27000.0
Super Saver Arunachal Including Ziro,"itanagar ,   ziro ,    daporijo ,   along/ aalo ,   pasighat ,   dibrugarh",8,9,36000.0
Discover Tawang Tour Package,"guwahati ,   bomdila ,   tawang ,   dirang ,   guwahati",6,7,26640.0
Gems of Northeast Including Roing,"pasighat ,   dibrugarh ,   tinsukia ,   roing ,   tezu",5,6,15000.0
Charming Northeast Including Roing,"guwahati ,   jorhat ,   tuli ,   dibrugarh ,   tinsukia ,   roing ,   tezu",6,7,20000.0
Tranquil Roing and Dibrugarh,"roing ,   dibrugarh",3,4,10500.0
"Enchanting Roing, Dibrugarh, Jorhat & More","guwahati ,   jorhat ,   dibrugarh ,   tinsukia ,   roing ,   tezu",6,7,20340.0
Beautiful Roing Tour Package with  Mehao Wildlife Sanctuary,roing,4,5,13240.0
Blissful Bhalukpong,"tezpur ,   bhalukpong",2,3,10000.0
Beautiful Bhalukpong and Tezpur,"tezpur ,   bhalukpong ,  tezpur",2,3,8000.0
Kaziranga National Park Safari Tour Package,"guwahati ,   kaziranga national park",3,4,12500.0
7 Days North East India Tour Packages with Kaziranga & Dawki River,"guwahati  ,   kaziranga national park ,  shillong ,  cherrapunji ,  guwahati",6,7,29000.0
Treasures of Kaziranga Tour Package for 2 Nights,"guwahati ,   kaziranga national park",2,3,10900.0
Splendid Guwahati & Kaziranga Safari Family Package,"guwahati  ,   shillong ,  kaziranga national park",4,5,19090.0
Clouds and Jungle Safari: Shillong Cherrapunjee Kaziranga Tour,"guwahati  ,   shillong ,  cherrapunji ,   shillong ,   kaziranga national park ,  guwahati",6,7,26999.0
Shillong Guwahati with Kaziranga Tour Package,"guwahati ,   shillong ,   kaziranga ,   guwahati",5,6,21550.0
"Manas, Nameri and Kaziranga National Park Tour","guwahati ,   manas national park ,   nameri national park ,   kaziranga national park",6,7,28250.0
Kaziranga National Park Family Tour Packages,"guwahati  ,   kaziranga national park ,  shillong ,  cherrapunji ,  guwahati",6,7,29000.0
National Parks of Assam Tour Package,"guwahati ,   manas national park ,   nameri national park ,   kaziranga national park",6,7,30900.0
Luxury Kaziranga National Park Safari Tour Package,"guwahati ,   kaziranga national park",3,4,16500.0
Guwahati Shillong Kaziranga Tour Package : Wet and Wild Assam and Meghalaya,"guwahati ,   kaziranga national park ,   shillong ,   guwahati",6,7,28500.0
Meghalaya Arunachal Assam Tour Packages,"guwahati ,   shillong ,   kaziranga national park ,   tezpur ,   bomdila ,   tawang ,   dirang ,   bhalukpong ,   guwahati",12,13,62900.0
Jewels of North East India Tour Packages with Kaziranga & Dirang,"shillong ,   kaziranga national park ,   dirang ,   tawang ,   bomdila ,   guwahati",9,10,55240.0
National Parks of Assam Tour Package,"guwahati ,   manas national park ,   nameri national park ,   kaziranga national park ,   guwahati",7,8,35900.0
Manas National Park Tour Package,"guwahati ,   manas national park ,   kaziranga national park",4,5,22700.0
Wildlife Tours of Assam- Shillong Tour Package,"shillong ,   kaziranga ,   nameri ,   guwahati",7,8,31000.0
Explore Assam and Meghalaya: 8-Day Adventure from Guwahati to Kaziranga,"guwahati ,   shillong ,   kaziranga national park ,   guwahati",7,8,35500.0
Guwahati and Kaziranga National Park Tour Package,"guwahati ,   kaziranga national park",3,4,12000.0
Luxury Tour Packag to National Parks of Assam,"guwahati ,   manas national park ,   nameri national park ,   kaziranga national park ,   guwahati",7,8,35900.0
Dibrugarh Tinsukia Exploration Package with Jorhat & Kaziranga,"dibrugarh ,   tinsukia ,   kaziranga",9,10,48650.0
Wildlife Tours of Assam with Jorhat Tour Package,"dibrugarh ,   tinsukia ,   jorhat ,   kaziranga ,   nameri ,   manas",9,10,48900.0
5 Days Group Tour Package to Meghalaya with Kaziranga,"shillong ,   cherrapunjee ,   kaziranga national park",4,5,12499.0
Stunning Meghalaya: Shillong & Kaziranga Honeymoon Tour Package,"guwahati  ,   shillong ,  kaziranga national park",5,6,18990.0
Couple Special Assam and Meghalaya Honeymoon Package,"guwahati ,  kaziranga national park ,   shillong ,   guwahati",6,7,24500.0
Breathtaking Meghalaya Honeymoon Package with Elephant Safari in Kaziranga,"guwahati  ,   kaziranga national park ,  shillong ,  cherrapunjee ,  guwahati",6,7,26000.0
Exotic Meghalaya Honeymoon Package with Cruise and Jungle Safari,"guwahati  ,   shillong ,  cherrapunjee ,  kaziranga national park ,  guwahati",6,7,30999.0
Decadent Meghalaya Honeymoon Package,"guwahati  ,   kaziranga national park ,  shillong ,  cherrapunjee ,  guwahati",6,7,24000.0
Mesmerising Meghalaya Honeymoon Special with Kaziranga,"guwahati ,   kaziranga national park ,   shillong ,   guwahati",6,7,24500.0
Assam and Meghalaya Tour Package,"shillong ,   cherrapunjee ,   kaziranga national park",6,7,30000.0
Kaziranga Meghalaya Family Tour Package,"guwahati  ,   shillong ,  cherrapunji ,   shillong ,   kaziranga national park ,  guwahati",6,7,26999.0
Guwahati Shillong Tour Package - 4 Nights 5 Days,"guwahati ,  shillong ,   guwahati",4,5,20250.0
Guwahati Meghalaya Tour Packages with Mawsmai Cave Exploration,"guwahati ,   shillong ,   cherrapunji ,   mawsynram ,   mawlynnong ,   guwahati",5,6,22750.0
"Discover Tawang Tour Package with Guwahati, Bomdila & More","guwahati ,   bomdila ,   tawang ,   dirang ,   guwahati",6,7,26640.0
Romantic North East India Honeymoon Package -  Seven Sisters Falls,"guwahati ,   kaziranga national park ,    shillong ,   cherrapunji",6,7,27999.0
"Visit Meghalaya: Shillong, Cherrapunji, Guwahati Tour","guwahati ,   shillong ,   guwahati",3,4,12999.0
Shillong Tour Plan for 5 Days,"guwahati ,   shillong ,   cherrapunji ,   krang suri ,   mawlynnong",4,5,14500.0
Guwahati Shillong Cherrapunji Tour Package - Trek to Double Decker Living Root Bridge,"guwahati ,   shillong ,   cherrapunji ,   guwahati",6,7,24750.0
Meghalaya Arunchal Assam Tour Packages - Discover the Northeast,"guwahati ,   manas national park ,   shillong ,   cherrapunji ,    mawlynnong ,   tawang",9,10,42250.0
Guwahati Shillong Meghalaya Tour Packages,"shillong ,   cherrapunji ,   guwahati",6,7,25600.0
National Parks of Assam Tour Package Ex Guwahati,"guwahati ,   manas national park ,   nameri national park ,   kaziranga national park",6,7,30900.0
Assam Meghalaya Tour Package - 4 Night 5 Days,"guwahati  ,   shillong ,   cherrapunji ,   mawlynnong",4,5,17650.0
"Offbeat Arunachal Tour Package: Guwahati, Tawang, Dirang & More","guwahati ,   kazirang ,   nameri ,   dirang ,   tawang ,   bomdila",9,10,51500.0
Meghalaya 3 Nights 4 Days Tour Package,"guwahati ,   shillong",3,4,14250.0
Assam Shillong Meghalaya Tour Packages,"guwahati ,   manas ,   shillong ,   cherrapunji ,   guwahati",5,6,21900.0
Assamd Tour Packages - 8 Nights 9 Days,"guwahati ,   cherrapunji ,   mawlynnong ,   dawki ,   jowai ,   shillong ,   mawsynram ,   guwahati",8,9,42120.0
3 Nights Manas National Park Tour Package,"guwahati ,   manas national park ,   guwahati",3,4,13700.0
Short Break to Shillong Tour Package,"guwahati ,   shillong ,   guwahati",3,4,14000.0
Explore Meghalaya Tour Package Starting from Guwahati,"guwahati  ,   shillong ,   cherrapunji ,   shillong ,   mawlynnong ,   shillong",7,8,33250.0
8-Day Meghalaya Adventure Package -  Explore Laitlum Canyon,"shillong ,   mawphlang ,   dawki ,   shillong ,   guwahati",7,8,32250.0
Shillong Tour Packages for Family with Guwahati,"guwahati ,  shillong ,   guwahati",4,5,21250.0
