package_name,category_of_package,cities_to_be_visit,count_of_cities,categories_by_days,no_of_nights,no_of_days,categories_by_price,accommodation_facility,price,tokenized_cities_to_be_visit,tokenized_package_name
tawang tour itinerary - 5 nights 6 days,holiday_package,"guwahati ,   nameri ,   nag mandir ,   tawang ,   dirang",6,medium trip,5,6,standard,3-star hotel,21445.0,"['guwahati', 'nameri', 'nag', 'mandir', 'tawang', 'dirang']","['Tawang', 'Tour', 'Itinerary', '5', 'Nights', '6', 'Days']"
discover tawang arunachal pradesh tour package,holiday_package,"guwahati ,   bomdila ,   tawang ,   dirang ,   guwahati",5,medium trip,6,7,standard,3-star hotel,26640.0,"['guwahati', 'bomdila', 'tawang', 'dirang', 'guwahati']","['Discover', 'Tawang', 'Arunachal', 'Pradesh', 'Tour', 'Package']"
arunachal pradesh tour package for family,family_package,"bhalukpong  ,   dirang  ,   tawang  ,   bomdila  ,   tezpur",5,long trip,7,8,premium,4-star hotel,33222.0,"['bhalukpong', 'dirang', 'tawang', 'bomdila', 'tezpur']","['Arunachal', 'Pradesh', 'Tour', 'Package', 'for', 'Family']"
arunachal pradesh tour itinerary - 8 nights package,holiday_package,"guwahati ,   bhalukpong ,   dirang ,   tawang ,   bomdila ,   tezpur ,   itanagar ,   ziro",8,long trip,8,9,premium,4-star hotel,37000.0,"['guwahati', 'bhalukpong', 'dirang', 'tawang', 'bomdila', 'tezpur', 'itanagar', 'ziro']","['Arunachal', 'Pradesh', 'Tour', 'Itinerary', '8', 'Nights', 'Package']"
fascinating arunachal pradesh tour itinerary 6 days,holiday_package,"guwahati ,   bhalukpong ,   bomdila ,   dirang ,   tawang",5,medium trip,5,6,standard,3-star hotel,23000.0,"['guwahati', 'bhalukpong', 'bomdila', 'dirang', 'tawang']","['Fascinating', 'Arunachal', 'Pradesh', 'Tour', 'Itinerary', '6', 'Days']"
assam tour itinerary with jeep safari,adventure_package,"guwahati ,   kaziranga national park ,   bomdila ,   tawang ,   guwahati",7,long trip,7,8,premium,4-star hotel,31500.0,"['guwahati', 'kaziranga', 'national', 'park', 'bomdila', 'tawang', 'guwahati']","['Assam', 'Tour', 'Itinerary', 'with', 'Jeep', 'Safari']"
"offbeat arunachal tour package: tawang, nameri, dirang & more",offbeat_package,"guwahati ,   kazirang ,   nameri ,   dirang ,   tawang ,   bomdila",6,long trip,9,10,luxury,5-star resort,51500.0,"['guwahati', 'kazirang', 'nameri', 'dirang', 'tawang', 'bomdila']","['Offbeat', 'Arunachal', 'Tour', 'Package', 'Tawang', 'Nameri', 'Dirang', 'More']"
escape to tawang dirang and bomdila group package,family_package,"bhalukpong ,   dirang ,   tawang ,   bomdila",4,medium trip,6,7,standard,3-star hotel,19999.0,"['bhalukpong', 'dirang', 'tawang', 'bomdila']","['Escape', 'to', 'Tawang', 'Dirang', 'and', 'Bomdila', 'Group', 'Package']"
shillong tawang tour package - jewels of north east india with kaziranga & dirang,holiday_package,"shillong ,   kaziranga national park ,   dirang ,   tawang ,   bomdila ,   guwahati",8,long trip,9,10,luxury,5-star resort,55240.0,"['shillong', 'kaziranga', 'national', 'park', 'dirang', 'tawang', 'bomdila', 'guwahati']","['Shillong', 'Tawang', 'Tour', 'Package', 'Jewels', 'of', 'North', 'East', 'India', 'with', 'Kaziranga', 'Dirang']"
bike trip to meghalaya and arunachal: exploring the eastern himalayas,adventure_package,"shillong ,   mawlynnong ,   cheerapunji ,   bhalukpong ,   tawang ,   shillong",6,long trip,8,9,premium,4-star hotel,39250.0,"['shillong', 'mawlynnong', 'cheerapunji', 'bhalukpong', 'tawang', 'shillong']","['Bike', 'Trip', 'to', 'Meghalaya', 'and', 'Arunachal', 'Exploring', 'the', 'Eastern', 'Himalayas']"
tawang adventure tour package on bike,adventure_package,"guwahati ,   bhalukpong ,   tawang ,   zemithang ,   nag mandir",6,medium trip,6,7,standard,3-star hotel,24500.0,"['guwahati', 'bhalukpong', 'tawang', 'zemithang', 'nag', 'mandir']","['Tawang', 'Adventure', 'Tour', 'Package', 'on', 'Bike']"
meghalaya arunachal pradesh tour packages - discover the northeast,holiday_package,"guwahati ,   manas national park ,   shillong ,   cherrapunji ,    mawlynnong ,   tawang",8,long trip,9,10,premium,4-star hotel,42250.0,"['guwahati', 'manas', 'national', 'park', 'shillong', 'cherrapunji', 'mawlynnong', 'tawang']","['Meghalaya', 'Arunachal', 'Pradesh', 'Tour', 'Packages', 'Discover', 'the', 'Northeast']"
"northeast highlights - shillong, tawang, kaziranga & more",holiday_package,"shillong ,  bhalukpong ,  dirang ,  tawang ,  bomdila ,  kaziranga ,  guwahati",7,long trip,11,12,luxury,5-star resort,58000.0,"['shillong', 'bhalukpong', 'dirang', 'tawang', 'bomdila', 'kaziranga', 'guwahati']","['Northeast', 'Highlights', 'Shillong', 'Tawang', 'Kaziranga', 'More']"
best arunachal pradesh tour packages including bhalukpong,holiday_package,"guwahati ,   bhalukpong ,  dirang ,  bomdila ,   tawang ,  tezpur",6,long trip,7,8,premium,4-star hotel,32500.0,"['guwahati', 'bhalukpong', 'dirang', 'bomdila', 'tawang', 'tezpur']","['Best', 'Arunachal', 'Pradesh', 'Tour', 'Packages', 'Including', 'Bhalukpong']"
"amazing arunachal tour - shillong, bhalukpong, dirang and more",holiday_package,"shillong ,   bhalukpong ,   dirang ,  tawang ,   bomdila ,  tezpur",6,long trip,8,9,premium,4-star hotel,40568.0,"['shillong', 'bhalukpong', 'dirang', 'tawang', 'bomdila', 'tezpur']","['Amazing', 'Arunachal', 'Tour', 'Shillong', 'Bhalukpong', 'Dirang', 'and', 'More']"
arunachal pradesh tour itinerary 5 days,holiday_package,"guwahati ,   bhalukpong ,   dirang ,   tawang",4,medium trip,4,5,standard,3-star hotel,19000.0,"['guwahati', 'bhalukpong', 'dirang', 'tawang']","['Arunachal', 'Pradesh', 'Tour', 'Itinerary', '5', 'Days']"
enchanting honeymoon in arunachal pradesh package,honeymoon_package,"tezpur ,  dirang ,  tawang ,  bomdila ,  guwahati",5,medium trip,6,7,premium,5-star hotel,32000.0,"['tezpur', 'dirang', 'tawang', 'bomdila', 'guwahati']","['Enchanting', 'Honeymoon', 'in', 'Arunachal', 'Pradesh', 'Package']"
ultimate arunachal pradesh package,holiday_package,"guwahati ,  bomdila ,  tawang ,   bhalukpong",4,medium trip,4,5,standard,3-star hotel,22000.0,"['guwahati', 'bomdila', 'tawang', 'bhalukpong']","['Ultimate', 'Arunachal', 'Pradesh', 'Package']"
